Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
1,0.0041883062489529235,0.0023828435266084196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008376612497905847,0.007942811755361398,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.01256491874685877,0.016679904686258934,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016753224995811694,0.023828435266084195,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020941531244764618,0.02779984114376489,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02512983749371754,0.030976965845909452,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
7,0.029318143742670465,0.03494837172359015,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
8,0.03350644999162339,0.03812549642573471,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
9,0.03769475624057631,0.04209690230341541,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
10,0.041883062489529235,0.046068308181096106,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
11,0.04607136873848216,0.051628276409849086,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.1,0.0,0.0
12,0.05025967498743508,0.05321683876092136,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.1,0.0,0.0
13,0.054447981236388006,0.05798252581413821,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.1,0.0,0.0
14,0.05863628748534093,0.06274821286735505,0.0,0.0,0.0,0.2,0.008583690987124463,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.1,0.0,0.0
15,0.06282459373429385,0.06830818109610802,0.0,0.0,0.0,0.3,0.012875536480686695,0.0,0.0,0.1,0.03571428571428571,0.1,0.05,0.1,0.1,0.0,0.0
16,0.06701289998324678,0.07069102462271644,0.0,0.0,0.0,0.3,0.012875536480686695,0.0,0.0,0.1,0.03571428571428571,0.1,0.05,0.1,0.1,0.0,0.0
17,0.07120120623219969,0.07625099285146943,0.0,0.0,0.0,0.3,0.012875536480686695,0.0,0.0,0.3,0.10714285714285714,0.1,0.05,0.1,0.1,0.0,0.0
