Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
1,0.0041883062489529235,0.0023828435266084196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008376612497905847,0.006354249404289118,0.0,0.0,0.0,0.1,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
3,0.01256491874685877,0.015091342335186657,0.0,0.0,0.0,0.6,0.02575107296137339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
4,0.016753224995811694,0.026211278792692614,0.0,0.0,0.0,0.7,0.030042918454935622,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.058823529411764705
5,0.020941531244764618,0.030182684670373314,0.0,0.0,0.0,0.7,0.030042918454935622,0.2,0.07407407407407407,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.058823529411764705
6,0.02512983749371754,0.04130262112787927,0.0,0.0,0.0,0.7,0.030042918454935622,0.3,0.1111111111111111,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.058823529411764705
7,0.029318143742670465,0.04765687053216839,0.0,0.0,0.0,0.7,0.030042918454935622,0.3,0.1111111111111111,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.058823529411764705
8,0.03350644999162339,0.05798252581413821,0.0,0.0,0.0,0.9,0.03862660944206009,0.3,0.1111111111111111,0.0,0.0,0.4,0.2,0.0,0.0,0.1,0.058823529411764705
9,0.03769475624057631,0.06751389992057188,0.0,0.0,0.0,1.0,0.04291845493562232,0.3,0.1111111111111111,0.0,0.0,0.4,0.2,0.0,0.0,0.1,0.058823529411764705
10,0.041883062489529235,0.07466243050039714,0.0,0.1,0.09090909090909091,1.0,0.04291845493562232,0.4,0.14814814814814814,0.0,0.0,0.4,0.2,0.0,0.0,0.1,0.058823529411764705
11,0.04607136873848216,0.08419380460683082,0.0,0.1,0.09090909090909091,1.0,0.055793991416309016,0.4,0.14814814814814814,0.0,0.0,0.4,0.2,0.0,0.0,0.1,0.058823529411764705
