Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected)
1,0.004170837504170837,0.002944062806673209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008341675008341674,0.0068694798822374874,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
3,0.012512512512512513,0.009813542688910697,0.0,0.2,0.013157894736842105,0.0,0.0,0.0,0.0,0.2,0.022988505747126436,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
4,0.01668335001668335,0.016683022571148183,0.0,0.3,0.019736842105263157,0.1,0.034482758620689655,0.0,0.0,0.2,0.022988505747126436,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
5,0.020854187520854186,0.022571148184494603,0.0,0.5,0.03289473684210526,0.1,0.034482758620689655,0.0,0.0,0.2,0.022988505747126436,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
6,0.025025025025025027,0.02747791952894995,0.0,0.5,0.03289473684210526,0.1,0.034482758620689655,0.0,0.0,0.6,0.06896551724137931,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
7,0.029195862529195864,0.03042198233562316,0.0,0.7,0.046052631578947366,0.2,0.06896551724137931,0.0,0.0,0.6,0.06896551724137931,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
8,0.0333667000333667,0.033366045142296366,0.0,0.7,0.046052631578947366,0.2,0.06896551724137931,0.0,0.0,0.7,0.08045977011494253,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
9,0.03753753753753754,0.03729146221786065,0.0,0.7,0.046052631578947366,0.2,0.06896551724137931,0.0,0.0,0.8,0.09195402298850575,0.1,0.07692307692307693,0.1,0.07692307692307693,0.1,0.08333333333333333,0.0,0.0
10,0.04170837504170837,0.04121687929342493,0.0,0.7,0.046052631578947366,0.2,0.06896551724137931,0.0,0.0,0.8,0.09195402298850575,0.1,0.07692307692307693,0.1,0.07692307692307693,0.1,0.08333333333333333,0.0,0.0
