Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.004170837504170837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008341675008341674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012512512512512513,0.011627906976744186,0.0,0.0,0.0,0.1,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01668335001668335,0.011627906976744186,0.0,0.0,0.0,0.1,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020854187520854186,0.023255813953488372,0.0,0.0,0.0,0.1,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025025025025025027,0.03488372093023256,0.0,0.0,0.0,0.1,0.058823529411764705,0.0,0.0,0.0,0.0,0.1,0.1
7,0.029195862529195864,0.03488372093023256,0.0,0.0,0.0,0.1,0.058823529411764705,0.0,0.0,0.0,0.0,0.1,0.1
8,0.0333667000333667,0.03488372093023256,0.0,0.0,0.0,0.1,0.058823529411764705,0.0,0.0,0.0,0.0,0.1,0.1
9,0.03753753753753754,0.046511627906976744,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.0,0.0,0.1,0.1
10,0.04170837504170837,0.046511627906976744,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.0,0.0,0.1,0.1
11,0.04587921254587921,0.05813953488372093,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.1,0.058823529411764705,0.1,0.1
12,0.05005005005005005,0.06976744186046512,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.1,0.058823529411764705,0.1,0.1
13,0.05422088755422089,0.08139534883720931,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.1,0.058823529411764705,0.1,0.1
14,0.05839172505839173,0.09302325581395349,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.2,0.11764705882352941,0.1,0.1
15,0.06256256256256257,0.10465116279069768,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
16,0.0667334000667334,0.10465116279069768,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
17,0.07090423757090424,0.10465116279069768,0.0,0.0,0.0,0.1,0.058823529411764705,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
18,0.07507507507507508,0.11627906976744186,0.0,0.0,0.0,0.1,0.058823529411764705,0.2,0.13333333333333333,0.3,0.17647058823529413,0.1,0.1
19,0.07924591257924592,0.11627906976744186,0.0,0.0,0.0,0.1,0.058823529411764705,0.2,0.13333333333333333,0.3,0.17647058823529413,0.1,0.1
20,0.08341675008341674,0.12790697674418605,0.0,0.0,0.0,0.1,0.058823529411764705,0.2,0.13333333333333333,0.3,0.17647058823529413,0.1,0.1
21,0.08758758758758758,0.13953488372093023,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.3,0.17647058823529413,0.1,0.1
22,0.09175842509175842,0.13953488372093023,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.3,0.17647058823529413,0.1,0.1
23,0.09592926259592927,0.13953488372093023,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.3,0.17647058823529413,0.1,0.1
24,0.1001001001001001,0.13953488372093023,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.3,0.17647058823529413,0.1,0.1
25,0.10427093760427093,0.16279069767441862,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.1,0.1
26,0.10844177510844177,0.1744186046511628,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
27,0.11261261261261261,0.18604651162790697,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
28,0.11678345011678345,0.18604651162790697,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
29,0.12095428762095428,0.18604651162790697,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
30,0.12512512512512514,0.18604651162790697,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
31,0.12929596262929596,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
32,0.1334668001334668,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
33,0.13763763763763764,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
34,0.14180847514180847,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
35,0.14597931264597933,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
36,0.15015015015015015,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
37,0.15432098765432098,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
38,0.15849182515849183,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
39,0.16266266266266266,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
40,0.1668335001668335,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
41,0.17100433767100434,0.19767441860465115,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.2,0.2
42,0.17517517517517517,0.20930232558139536,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.3,0.3
43,0.17934601267934602,0.20930232558139536,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.3,0.3
44,0.18351685018351685,0.20930232558139536,0.0,0.0,0.0,0.1,0.058823529411764705,0.3,0.2,0.4,0.23529411764705882,0.3,0.3
45,0.18768768768768768,0.23255813953488372,0.0,0.1,0.1,0.1,0.058823529411764705,0.4,0.26666666666666666,0.4,0.23529411764705882,0.3,0.3
46,0.19185852519185853,0.23255813953488372,0.0,0.1,0.1,0.1,0.058823529411764705,0.4,0.26666666666666666,0.4,0.23529411764705882,0.3,0.3
47,0.19602936269602936,0.2441860465116279,0.0,0.1,0.1,0.1,0.058823529411764705,0.4,0.26666666666666666,0.5,0.29411764705882354,0.3,0.3
48,0.2002002002002002,0.2441860465116279,0.0,0.1,0.1,0.1,0.058823529411764705,0.4,0.26666666666666666,0.5,0.29411764705882354,0.3,0.3
49,0.20437103770437104,0.2441860465116279,0.0,0.1,0.1,0.1,0.058823529411764705,0.4,0.26666666666666666,0.5,0.29411764705882354,0.3,0.3
50,0.20854187520854187,0.26744186046511625,0.0,0.1,0.1,0.2,0.11764705882352941,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
51,0.21271271271271272,0.26744186046511625,0.0,0.1,0.1,0.2,0.11764705882352941,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
52,0.21688355021688355,0.26744186046511625,0.0,0.1,0.1,0.2,0.11764705882352941,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
53,0.22105438772105437,0.27906976744186046,0.0,0.1,0.1,0.3,0.17647058823529413,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
54,0.22522522522522523,0.27906976744186046,0.0,0.1,0.1,0.3,0.17647058823529413,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
55,0.22939606272939606,0.27906976744186046,0.0,0.1,0.1,0.3,0.17647058823529413,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
56,0.2335669002335669,0.27906976744186046,0.0,0.1,0.1,0.3,0.17647058823529413,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
57,0.23773773773773774,0.29069767441860467,0.0,0.1,0.1,0.4,0.23529411764705882,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
58,0.24190857524190856,0.29069767441860467,0.0,0.1,0.1,0.4,0.23529411764705882,0.4,0.26666666666666666,0.6,0.35294117647058826,0.3,0.3
59,0.24607941274607942,0.313953488372093,0.0,0.2,0.2,0.4,0.23529411764705882,0.4,0.26666666666666666,0.7,0.4117647058823529,0.3,0.3
60,0.2502502502502503,0.313953488372093,0.0,0.2,0.2,0.4,0.23529411764705882,0.4,0.26666666666666666,0.7,0.4117647058823529,0.3,0.3
61,0.25442108775442107,0.313953488372093,0.0,0.2,0.2,0.4,0.23529411764705882,0.4,0.26666666666666666,0.7,0.4117647058823529,0.3,0.3
62,0.2585919252585919,0.32558139534883723,0.0,0.3,0.3,0.4,0.23529411764705882,0.4,0.26666666666666666,0.7,0.4117647058823529,0.3,0.3
63,0.2627627627627628,0.32558139534883723,0.0,0.3,0.3,0.4,0.23529411764705882,0.4,0.26666666666666666,0.7,0.4117647058823529,0.3,0.3
64,0.2669336002669336,0.3488372093023256,0.0,0.3,0.3,0.4,0.23529411764705882,0.4,0.26666666666666666,0.8,0.47058823529411764,0.4,0.4
65,0.27110443777110443,0.3488372093023256,0.0,0.3,0.3,0.4,0.23529411764705882,0.4,0.26666666666666666,0.8,0.47058823529411764,0.4,0.4
66,0.2752752752752753,0.3488372093023256,0.0,0.3,0.3,0.4,0.23529411764705882,0.4,0.26666666666666666,0.8,0.47058823529411764,0.4,0.4
67,0.2794461127794461,0.3488372093023256,0.0,0.3,0.3,0.4,0.23529411764705882,0.4,0.26666666666666666,0.8,0.47058823529411764,0.4,0.4
